station,start,stop
RP01,2017:10:02 09:06:43,2017:10:13 06:11:46
RP02,2017:10:23 20:10:55,2017:10:29 05:17:38
RP03,2017:10:02 20:41:45,2017:10:13 11:08:02
RP04,2017:10:18 15:03:40,2017:10:29 07:09:35
RP05,2017:09:28 01:08:49,2017:10:04 07:42:29
RP06,2017:10:02 20:20:35,2017:10:16 16:17:36
RP07,2017:10:16 19:32:09,2017:10:30 16:11:41
RP08,2017:10:02 20:26:08,2017:10:06 09:58:12
RP09,2017:10:23 20:26:02,2017:10:30 06:36:11
RP10,2017:09:28 02:00:55,2017:10:01 10:41:36
RP10,2017:10:12 09:37:34,2017:10:13 05:37:36
RP10,2017:10:21 20:19:59,2017:10:26 08:26:56
RP11,2017:10:12 00:46:50,2017:10:14 10:35:38
RP12,2017:09:28 12:17:18,2017:10:12 12:04:03
RP13,2017:10:12 20:36:35,2017:10:23 09:55:43
RP14,2017:09:28 01:16:55,2017:10:12 15:27:36
RP15,2017:10:16 08:48:01,2017:10:30 08:19:53
RP16,2017:10:02 18:59:27,2017:10:16 04:41:08
RP18,2017:09:28 10:31:16,2017:10:03 06:04:44
RP19,2017:09:28 01:22:44,2017:10:11 14:16:41
RP20,2017:10:12 01:07:06,2017:10:26 15:45:37
RP21,2017:09:28 01:54:53,2017:10:07 12:13:20
RP22,2017:10:12 01:37:35,2017:10:25 11:50:57
RP23,2017:10:12 02:09:35,2017:10:12 22:12:10
RP23,2017:10:18 20:23:11,2017:10:19 16:23:12
RP24,2017:10:12 01:40:09,2017:10:26 20:51:49
RP25,2017:09:28 01:47:17,2017:10:12 16:15:09
RP26,2017:10:12 01:25:29,2017:10:26 20:38:58
RP27,2017:09:28 02:10:35,2017:10:11 11:43:16
RP28,2017:10:12 01:21:44,2017:10:26 09:10:02
RP29,2017:09:28 02:06:27,2017:10:12 15:50:31
RP30,2017:10:12 01:51:23,2017:10:15 11:33:06
RP31,2017:09:28 02:08:53,2017:10:11 14:43:22
RP32,2017:10:12 02:18:04,2017:10:12 22:18:32
RP33,2017:09:28 01:17:06,2017:10:02 06:51:02
RP34,2017:09:28 01:40:25,2017:10:12 16:13:45
RP35,2017:10:15 18:23:38,2017:10:26 20:33:28
RP36,2017:09:28 01:09:41,2017:10:11 07:38:56
RP37,2017:10:12 02:26:31,2017:10:24 15:35:35
RP38,2017:09:28 02:24:29,2017:10:12 17:13:04
RP39,2017:10:12 01:10:03,2017:10:26 15:11:58
RP40,2017:09:28 01:27:52,2017:10:12 15:14:45
RP41,2017:10:12 01:59:17,2017:10:14 15:10:55
RP42,2017:09:28 01:28:00,2017:10:05 12:38:22
RP44,2017:09:28 01:56:26,2017:10:12 15:50:57
RP46,2017:10:30 09:24:20,2017:11:10 09:48:08
RP48,2017:10:12 01:33:12,2017:10:25 05:24:44
RP51,2017:10:12 02:49:03,2017:10:17 12:37:34
RP52,2017:10:12 01:58:06,2017:10:26 21:08:38
RP53,2017:09:28 02:44:40,2017:10:12 12:09:02
RP54,2017:10:12 03:14:47,2017:10:25 07:53:42
RP55,2017:09:28 01:59:43,2017:10:12 22:56:53
RP56,2017:10:12 01:38:57,2017:10:12 21:40:57
RP56,2017:10:21 19:59:30,2017:10:22 15:59:33
RP56,2017:10:25 12:02:51,2017:10:26 08:02:52
RP57,2017:09:28 01:45:03,2017:10:03 09:33:23
RP57,2017:10:03 13:47:04,2017:10:06 09:00:14
RP58,2017:09:28 01:23:39,2017:10:12 11:34:32
RP59,2017:09:28 02:04:37,2017:10:12 10:34:29
